Page path and screen class,Region,Views,Users,New users,Views per user,Average engagement time,Unique user scrolls,Event count,Conversions,Total revenue
/stress001,Louisiana,5,3,0,1.6666666666666700,230.66666666666700,0,25,0,0
/pronouns101,Misiones Province,1,1,0,1,229,0,5,0,0
/sexuality101,New Mexico,1,1,0,1,227,0,3,0,0
/privacy-policy,Maryland,1,1,0,1,223,0,5,0,0
/queer004,Flanders,1,1,0,1,223,0,5,0,0
/stress010,Berlin,1,1,1,1,221,0,7,0,0
/stigma003,Montana,1,1,0,1,220,0,5,0,0
/gender101,Lang Son,1,1,0,1,218,0,6,0,0
/stigma009,Massachusetts,4,1,0,4,218,0,35,0,0
/gender004,Colorado,24,18,3,1.3333333333333300,217.38888888888900,0,107,0,0
/stress006,Ilfov County,3,1,0,3,217,0,19,0,0
/gender006,Delaware,1,1,0,1,216,0,5,0,0
/queer005,Alabama,5,4,1,1.25,214.75,0,29,0,0
/gender006,West Bengal,0,1,0,0,214,0,2,0,0
/gender004,Jalisco,2,2,0,1,213.5,0,15,0,0
/gender101,Federal Capital Territory,1,1,0,1,213,0,5,0,0
/stress008,Maharashtra,1,1,0,1,213,0,5,0,0
/stress006,Maharashtra,4,2,0,2,207,0,14,0,0
/gender101,Missouri,25,25,3,1,205.96,0,124,0,0
/queer002,Attica,4,3,0,1.3333333333333300,205.66666666666700,0,34,0,0
/gender004,England,15,14,3,1.0714285714285700,204.92857142857100,0,105,0,0
/stress003,Tennessee,11,6,0,1.8333333333333300,204.33333333333300,0,57,0,0
/stress003,Iowa,1,1,0,1,203,0,4,0,0
/stress003,Mugla,3,1,0,3,203,0,27,0,0
/gender004,Berlin,2,1,0,2,201,0,7,0,0
/queer002,Navarre,1,1,0,1,201,0,12,0,0
/stress006,Montana,1,1,0,1,201,0,4,0,0
/stress006,Antioquia,1,1,0,1,200,0,9,0,0
/stress003,Rhode Island,3,1,0,3,196,0,17,0,0
/gender101,Utah,17,15,3,1.1333333333333300,195.4,0,91,0,0
/gender004,Maine,3,3,1,1,195,0,17,0,0
/stress,Misiones Province,2,1,0,2,194,0,10,0,0
/queer004,Nebraska,7,4,0,1.75,192.75,0,36,0,0
/gender004,(not set),2,2,0,1,192.5,0,14,0,0
/stigma006,England,2,2,1,1,192.5,0,11,0,0
/gender004,Michigan,26,18,3,1.4444444444444400,191.94444444444400,0,154,0,0
/gender004,Rajasthan,1,1,0,1,191,0,3,0,0
/gender004,Victoria,3,2,0,1.5,191,0,18,0,0
/gender101,Center District,1,1,0,1,191,0,6,0,0
/gender101,Arizona,22,21,4,1.0476190476190500,190,0,105,0,0
/gender101,Oregon,47,38,7,1.236842105263160,189.68421052631600,0,229,0,0
/stigma001,Guatemala Department,3,1,0,3,189,0,22,0,0
/gender101,Tel Aviv District,1,2,0,0.5,188.5,0,11,0,0
/gender101,Alaska,2,1,0,2,188,0,10,0,0
/sexuality101,West Virginia,4,3,0,1.3333333333333300,187,0,22,0,0
/stress011,Massachusetts,4,4,1,1,185.25,0,24,0,0
/faq,Virginia,4,4,3,1,184.25,0,23,0,0
/queer002,Veracruz,2,1,0,2,184,0,11,0,0
/stress010,Borsod-Abauj-Zemplen,1,1,0,1,184,0,5,0,0
/gender101,Alabama,16,14,1,1.1428571428571400,183.42857142857100,0,74,0,0
/gender101,Oklahoma,3,4,1,0.75,183.25,0,21,0,0
/gender004,Illinois,48,35,3,1.3714285714285700,182.62857142857100,0,256,0,0
/gender101,Nebraska,4,4,1,1,182.5,0,22,0,0
/stress012,Massachusetts,3,3,1,1,181,0,21,0,0
/queer004,Minnesota,8,6,1,1.3333333333333300,180.66666666666700,0,46,0,0
/queer004,Berlin,3,3,2,1,180.33333333333300,0,19,0,0
/stress005,Tennessee,5,3,1,1.6666666666666700,180,0,34,0,0
/,Alba County,2,1,1,2,179,0,9,0,0
/queer004,Western Australia,1,1,0,1,179,0,5,0,0
/gender004,Prague,1,1,0,1,177,0,11,0,0
/sexuality101,Capital Region of Denmark,2,1,0,2,177,0,7,0,0
/stigma006,North Carolina,3,3,1,1,176.33333333333300,0,12,0,0
/gender101,Vermont,7,5,1,1.4,176,0,36,0,0
/gender101,Ontario,29,25,6,1.16,175.6,0,158,0,0
/gender101,Kansas,3,3,1,1,175.33333333333300,0,16,0,0
/gender004,Oregon,23,21,6,1.0952380952381000,175.04761904761900,0,130,0,0
/gender101,Misiones Province,1,1,0,1,175,0,6,0,0
/gender101,Tunapuna/Piarco Regional Corporation,1,1,0,1,175,0,6,0,0
/gender101,Louisiana,10,10,2,1,173.9,0,51,0,0
/gender005,Alberta,4,1,0,4,173,0,15,0,0
/gender101,Victoria,1,1,0,1,173,0,6,0,0
/pronouns101,Masovian Voivodeship,1,1,0,1,172,0,5,0,0
/gender004,District of Columbia,1,1,0,1,171,0,10,0,0
/queer002,Michigan,11,9,1,1.2222222222222200,170.11111111111100,0,65,0,0
/gender004,Jakarta,1,1,0,1,170,0,5,0,0
/queer002,Flanders,1,1,0,1,170,0,11,0,0
/queer009,Berlin,1,1,0,1,170,0,12,0,0
/gender004,Republic of Bashkortostan,1,1,1,1,169,0,15,0,0
/spreadtheword,Alberta,2,2,1,1,169,0,10,0,0
/stigma006,Emilia-Romagna,1,1,0,1,169,0,5,0,0
/gender005,England,5,5,0,1,168.4,0,22,0,0
/mental-health-resources,Pichincha,1,1,0,1,166,0,6,0,0
/sexuality101,Mexico City,5,3,0,1.6666666666666700,165.66666666666700,0,22,0,0
/stigma010,New York,4,4,1,1,165.25,0,17,0,0
/gender101,Metro Manila,1,1,0,1,165,0,5,0,0
/stress008,England,3,2,0,1.5,164.5,0,18,0,0
/gender101,Berlin,4,3,1,1.3333333333333300,164,0,22,0,0
/queer002,Pest County,1,1,0,1,164,0,5,0,0
/queer008,Berlin,1,1,0,1,162,0,20,0,0
/stress009,Ontario,5,4,0,1.25,161.75,0,23,0,0
/gender101,Jalisco,3,3,0,1,161.33333333333300,0,16,0,0
/gender004,Alaska,2,2,0,1,161,0,9,0,0
/gender004,Pennsylvania,27,21,1,1.2857142857142900,160.8095238095240,0,145,0,0
/queer002,Berlin,3,2,0,1.5,160.5,0,27,0,0
/gender004,Missouri,11,11,1,1,160.36363636363600,0,80,0,0
/gender101,Indiana,21,20,3,1.05,159,0,84,0,0
/queer002,Bourgogne-Franche-Comte,1,1,0,1,159,0,15,0,0
/stigma,New Brunswick,0,1,0,0,159,0,1,0,0
/queer002,Louisiana,1,1,0,1,158,0,4,0,0
/gender,Rhode Island,42,6,1,7,157.66666666666700,0,174,0,0
/privacy-policy,California,10,6,2,1.6666666666666700,155,0,59,0,0
/gender101,(not set),10,9,1,1.1111111111111100,153.77777777777800,0,64,0,0
/pronouns101,Montana,2,2,1,1,151.5,0,13,0,0
/sexuality101,Utah,8,7,2,1.1428571428571400,150.71428571428600,0,43,0,0
/gender101,Nairobi County,2,1,0,2,150,0,7,0,0
/queer002,Nebraska,1,1,0,1,150,0,12,0,0
/gender001,Araucania,1,1,1,1,149,0,6,0,0
/gender101,West Virginia,1,1,0,1,149,0,4,0,0
/stress,Lazio,1,1,0,1,149,0,3,0,0
/queer008,Virginia,7,5,0,1.4,148.8,0,27,0,0
/gender005,Berlin,1,1,0,1,148,0,6,0,0
/stress010,Illinois,8,6,0,1.3333333333333300,146.66666666666700,0,36,0,0
/,Kanagawa,5,5,4,1,146.6,0,29,0,0
/stress011,New Jersey,2,2,0,1,146,0,12,0,0
/gender101,Maryland,37,33,9,1.121212121212120,145.54545454545500,0,178,0,0
/queer004,England,13,11,2,1.1818181818181800,145.0909090909090,0,59,0,0
/stress006,Borsod-Abauj-Zemplen,2,1,0,2,145,0,14,0,0
/gender101,California,202,162,40,1.2469135802469100,144.99382716049400,0,974,0,0
/stigma006,Maryland,3,3,0,1,143.66666666666700,0,14,0,0
/queer004,Massachusetts,9,9,2,1,142.88888888888900,0,51,0,0
/gender101,Queensland,6,6,0,1,142.83333333333300,0,31,0,0
/stigma006,Connecticut,1,1,0,1,142,0,5,0,0
/gender101,Pennsylvania,61,46,4,1.326086956521740,141.8695652173910,0,274,0,0
/gender101,England,34,29,11,1.1724137931034500,141.51724137931000,0,167,0,0
/gender007,Iowa,1,1,0,1,141,0,5,0,0
/mental-health-resources,Mississippi,1,1,0,1,141,0,3,0,0
/pronouns101,Trondelag,1,1,0,1,141,0,3,0,0
/stress010,Colorado,6,6,1,1,141,0,32,0,0
/gender101,Nevada,9,7,1,1.2857142857142900,140,0,52,0,0
/stress012,Michigan,3,2,0,1.5,140,0,12,0,0
/stigma006,Wisconsin,3,1,1,3,139,0,10,0,0
/queer005,Berlin,1,1,0,1,138,0,6,0,0
/sexuality101,Queretaro,1,1,0,1,138,0,4,0,0
/gender004,Texas,26,24,4,1.0833333333333300,137.66666666666700,0,146,0,0
/gender101,New Hampshire,6,4,0,1.5,137.25,0,24,0,0
/queer002,South Australia,1,1,0,1,137,0,11,0,0
/stigma,Misiones Province,3,2,1,1.5,136.5,0,13,0,0
/queer002,North Carolina,15,11,1,1.3636363636363600,136.27272727272700,0,97,0,0
/pronouns101,Auvergne-Rhone-Alpes,1,1,1,1,136,0,9,0,0
/stress001,Nairobi County,4,3,1,1.3333333333333300,135.33333333333300,0,18,0,0
/gender004,Valencian Community,1,1,0,1,135,0,4,0,0
/stigma006,Shumen Province,1,1,0,1,135,0,4,0,0
/gender101,Texas,60,56,11,1.0714285714285700,134.78571428571400,0,260,0,0
/gender004,California,60,56,12,1.0714285714285700,134.39285714285700,0,361,0,0
/queer002,Newfoundland and Labrador,1,1,0,1,134,0,11,0,0
/sexuality101,Castelo Branco District,1,1,0,1,134,0,5,0,0
/stress008,Utah,0,1,0,0,134,0,10,0,0
/queer004,North Carolina,15,13,0,1.1538461538461500,133.30769230769200,0,84,0,0
/about,Catalonia,0,1,0,0,133,0,6,0,0
/queer004,British Columbia,2,2,0,1,133,0,18,0,0
/gender004,Arizona,14,13,0,1.0769230769230800,132.92307692307700,0,75,0,0
/gender004,Uusimaa,1,1,0,1,132,0,5,0,0
/gender101,Uusimaa,1,1,1,1,132,0,8,0,0
/stress010,Indiana,1,1,0,1,132,0,4,0,0
/gender101,Georgia,51,47,9,1.0851063829787200,131.4468085106380,0,224,0,0
/mental-health-resources,Louisiana,5,2,1,2.5,131,0,28,0,0
/gender004,Washington,39,27,2,1.4444444444444400,130.59259259259300,0,209,0,0
/gender101,Manitoba,2,2,1,1,130,0,9,0,0
/queer002,Metro Manila,4,3,0,1.3333333333333300,130,0,20,0,0
/stress006,Massachusetts,14,10,5,1.4,129.6,0,53,0,0
/pronouns101,Oklahoma,1,1,1,1,129,0,6,0,0
/gender101,Wisconsin,18,19,7,0.9473684210526320,128.3684210526320,0,104,0,0
/gender004,Virginia,20,20,8,1,128.25,0,112,0,0
/gender101,Idaho,2,2,0,1,128,0,11,0,0
/stress011,Michigan,2,2,0,1,127.5,0,11,0,0
/faq,Kentucky,1,1,0,1,127,0,5,0,0
/gender101,South Holland,3,3,0,1,127,0,16,0,0
/stigma003,Utah,1,1,1,1,127,0,5,0,0
/queer004,Rhode Island,2,2,0,1,125.5,0,10,0,0
/gender101,Plzen Region,1,1,0,1,125,0,6,0,0
/queer005,North Carolina,8,7,1,1.1428571428571400,125,0,32,0,0
/gender101,Colorado,35,29,3,1.206896551724140,124.75862068965500,0,154,0,0
/queer004,Shumen Province,1,1,0,1,124,0,4,0,0
/queer01,Minnesota,1,1,0,1,124,0,5,0,0
/sexuality101,Saxony,1,1,0,1,124,0,14,0,0
/stigma006,Texas,7,6,3,1.1666666666666700,124,0,28,0,0
/sexuality101,Nevada,7,5,0,1.4,123.6,0,42,0,0
/cookiepolicy,Massachusetts,1,1,1,1,123,0,8,0,0
/gender101,St. Andrew Parish,1,1,0,1,123,0,6,0,0
/stress003,Utah,4,5,1,0.8,122.8,0,37,0,0
/gender005,Indiana,2,2,0,1,122.5,0,10,0,0
/pronouns101,Ontario,22,20,3,1.1,122.5,0,122,0,0
/stress013,California,9,6,0,1.5,122.33333333333300,0,41,0,0
/sexuality101,North Carolina,31,26,4,1.1923076923076900,121.65384615384600,0,174,0,0
/queer002,Canterbury,1,1,0,1,121,0,6,0,0
/queer002,Arizona,13,12,2,1.0833333333333300,120.66666666666700,0,66,0,0
/stigma003,North Carolina,7,6,0,1.1666666666666700,120.66666666666700,0,23,0,0
/gender101,Connecticut,6,6,0,1,120.5,0,30,0,0
/homearchive,California,57,11,8,5.181818181818180,120.36363636363600,0,232,0,0
/stress006,Indiana,6,6,3,1,119.5,0,31,0,0
/stigma003,Oregon,7,8,0,0.875,119.25,0,31,0,0
/gender101,Pichincha,2,1,0,2,119,0,9,0,0
/queer002,Capital Region of Denmark,1,1,0,1,119,0,5,0,0
/queer010,Berlin,3,1,0,3,119,0,12,0,0
/gender101,South Carolina,9,9,0,1,118.88888888888900,0,39,0,0
/queer002,Utah,8,10,5,0.8,118.8,0,74,0,0
/faq,New York,66,23,4,2.869565217391300,118.56521739130400,0,270,0,0
/gender101,Ohio,42,37,7,1.135135135135140,118.05405405405400,0,177,0,0
/gender101,Chittagong Division,1,1,0,1,118,0,5,0,0
/gender101,Michigan,53,41,17,1.2926829268292700,117.90243902439000,0,269,0,0
/stigma006,Oregon,5,6,1,0.8333333333333330,117.83333333333300,0,26,0,0
/gender101,Massachusetts,30,30,7,1,117.8,0,155,0,0
/gender101,Washington,49,45,12,1.0888888888888900,117.57777777777800,0,228,0,0
/pronouns101,Alaska,1,1,0,1,117,0,5,0,0
/stress003,New Hampshire,1,1,1,1,117,0,7,0,0
/stress008,Ohio,3,2,0,1.5,117,0,28,0,0
/stress012,Georgia,1,1,1,1,117,0,7,0,0
/stigma006,Florida,6,5,1,1.2,116.6,0,25,0,0
/pronouns101,Nebraska,2,2,0,1,116.5,0,11,0,0
/gender101,North Carolina,43,34,5,1.2647058823529400,116.38235294117600,0,201,0,0
/gender101,Lower Saxony,1,1,0,1,116,0,5,0,0
/queer004,Jalisco,4,1,0,4,116,0,17,0,0
/stigma009,Connecticut,1,1,0,1,115,0,4,0,0
/gender101,Mexico City,2,2,0,1,114.5,0,10,0,0
/sexuality101,Indiana,9,9,1,1,114.44444444444400,0,51,0,0
/queer005,England,6,6,2,1,114.33333333333300,0,26,0,0
/sexuality101,South Dakota,1,1,0,1,114,0,7,0,0
/stress002,Mugla,2,1,0,2,114,0,16,0,0
/stress002,South Dakota,1,1,0,1,114,0,4,0,0
/stress006,Lisbon,1,1,0,1,114,0,5,0,0
/stigma006,Illinois,6,6,4,1,113.33333333333300,0,26,0,0
/queer004,Metro Manila,4,3,0,1.3333333333333300,113,0,17,0,0
/stigma006,Arizona,3,3,0,1,113,0,13,0,0
/stress002,Guanajuato,1,1,0,1,113,0,12,0,0
/sexuality101,Tennessee,12,11,4,1.0909090909090900,112.54545454545500,0,75,0,0
/stress005,Maine,2,2,0,1,112.5,0,14,0,0
/stress006,Missouri,6,6,1,1,112.5,0,32,0,0
/pronouns101,Capital Region of Denmark,0,1,0,0,112,0,4,0,0
/queer004,Tunapuna/Piarco Regional Corporation,1,1,0,1,112,0,4,0,0
/stress010,Florida,2,2,1,1,111,0,13,0,0
/stress010,Oklahoma,1,1,0,1,111,0,12,0,0
/queer002,Queensland,3,3,0,1,110.33333333333300,0,29,0,0
/stress005,Georgia,3,3,1,1,110.33333333333300,0,15,0,0
/queer004,Antioquia,1,1,0,1,110,0,11,0,0
/stress010,New Hampshire,1,1,1,1,110,0,6,0,0
/stress010,Pennsylvania,6,6,1,1,110,0,38,0,0
/stress003,North Carolina,10,9,1,1.1111111111111100,109.77777777777800,0,66,0,0
/pronouns101,New Brunswick,2,2,0,1,109.5,0,10,0,0
/gender004,Louisiana,6,7,0,0.8571428571428570,109.42857142857100,0,30,0,0
/gender101,Florida,45,36,7,1.25,109.41666666666700,0,201,0,0
/stigma006,Alabama,2,3,0,0.6666666666666670,109.33333333333300,0,10,0,0
/gender007,Alberta,1,1,0,1,109,0,5,0,0
/gender101,South Australia,1,1,0,1,109,0,6,0,0
/gender101,Stockholm County,2,2,0,1,109,0,12,0,0
/stigma006,Capital Region of Denmark,1,1,0,1,109,0,5,0,0
/stress006,Quebec,1,1,1,1,109,0,6,0,0
/gender004,Ontario,14,8,0,1.75,108.5,0,74,0,0
/stress011,Colorado,2,2,0,1,108.5,0,10,0,0
/gender101,Tennessee,13,11,2,1.1818181818181800,108.27272727272700,0,57,0,0
/queer002,St. Andrew Parish,1,1,0,1,108,0,6,0,0
/sexuality101,Northern Ireland,2,1,0,2,108,0,14,0,0
/stigma006,Michigan,3,2,0,1.5,108,0,9,0,0
/gender004,Ohio,21,19,4,1.105263157894740,107.84210526315800,0,101,0,0
/stress010,Texas,6,5,1,1.2,107.4,0,31,0,0
/gender101,New York,146,115,34,1.2695652173913000,107.22608695652200,0,659,0,0
/gender004,Overijssel,1,1,0,1,107,0,7,0,0
/stress010,Puebla,1,1,1,1,107,0,7,0,0
/queer002,Oregon,19,17,4,1.1176470588235300,106.70588235294100,0,133,0,0
/gender004,North Carolina,20,20,1,1,106.05,0,116,0,0
/gender004,New Taipei City,1,1,0,1,106,0,4,0,0
/gender101,Rhode Island,6,1,0,6,106,0,26,0,0
/stress009,North Carolina,4,3,0,1.3333333333333300,106,0,18,0,0
/stress011,Telangana,1,1,0,1,106,0,6,0,0
/terms,New Jersey,1,1,0,1,106,0,5,0,0
/posters,New York,6,2,1,3,105.5,0,23,0,0
/sexuality101,Iowa,3,4,2,0.75,105.5,0,25,0,0
/gender004,Tunapuna/Piarco Regional Corporation,1,1,0,1,105,0,4,0,0
/queer003,Maharashtra,1,1,0,1,105,0,3,0,0
/sexuality101,South Holland,1,1,0,1,105,0,5,0,0
/stress002,Hawaii,1,1,1,1,105,0,6,0,0
/stress003,Texas,10,9,1,1.1111111111111100,104.33333333333300,0,61,0,0
/stigma006,California,23,21,3,1.0952380952381000,104.19047619047600,0,95,0,0
/mental-health-resources,New Mexico,6,2,0,3,104,0,28,0,0
/stress002,Maharashtra,1,1,0,1,104,0,7,0,0
/stress006,Metro Manila,2,2,0,1,103.5,0,8,0,0
/stigma006,Telangana,1,1,0,1,103,0,5,0,0
/stress008,Connecticut,1,1,0,1,103,0,5,0,0
/queer005,Plaines Wilhems District,1,1,1,1,102,0,6,0,0
/queer008,Indiana,2,1,0,2,102,0,12,0,0
/stigma009,District of Columbia,2,1,0,2,102,0,8,0,0
/gender101,Virginia,38,36,12,1.0555555555555600,101.75,0,182,0,0
/gender006,District of Columbia,2,2,0,1,101.5,0,6,0,0
/pronouns101,Attica,1,1,0,1,101,0,3,0,0
/queer006,Berlin,1,1,0,1,101,0,6,0,0
/sexuality101,Arkansas,1,1,0,1,101,0,5,0,0
/sexuality101,Center District,1,1,1,1,101,0,8,0,0
/gender007,Santa Cruz Department,1,1,0,1,100,0,5,0,0
/queer002,Antioquia,1,1,0,1,100,0,12,0,0
/saferbrowsing,West Virginia,3,3,0,1,100,0,16,0,0
/stigma006,Colorado,7,6,0,1.1666666666666700,100,0,34,0,0
/stigma009,Jalisco,1,1,0,1,100,0,13,0,0
/stress012,Jalisco,1,1,0,1,100,0,5,0,0
/gender004,Tennessee,10,7,0,1.4285714285714300,99.85714285714290,0,32,0,0
/queer004,Maryland,9,10,3,0.9,99.7,0,62,0,0
/queer004,Texas,26,18,3,1.4444444444444400,99.55555555555560,0,100,0,0
/stigma006,Virginia,3,3,0,1,99.33333333333330,0,12,0,0
/gender004,Vermont,1,1,1,1,99,0,6,0,0
/gender101,Illinois,124,90,20,1.3777777777777800,98.68888888888890,0,493,0,0
/stress008,Michigan,2,2,0,1,98.5,0,8,0,0
/gender,Santa Cruz Department,5,1,0,5,98,0,17,0,0
/sexuality101,Central Java,3,1,0,3,98,0,16,0,0
/sexuality101,New Hampshire,2,2,0,1,97.5,0,12,0,0
/pronouns101,Arizona,16,15,2,1.0666666666666700,97.06666666666670,0,83,0,0
/crisis-resources,Puebla,1,1,0,1,97,0,11,0,0
/queer002,Jalisco,1,1,0,1,97,0,5,0,0
/queerness,Northern Ireland,1,1,1,1,97,0,8,0,0
/stress001,Oregon,27,21,4,1.2857142857142900,96.9047619047619,0,147,0,0
/pronouns101,Minnesota,9,8,0,1.125,96.5,0,47,0,0
/gender011,Utah,4,3,0,1.3333333333333300,96.33333333333330,0,14,0,0
/gender,South Sulawesi,1,1,0,1,96,0,6,0,0
/gender006,South Sulawesi,1,1,0,1,96,0,12,0,0
/saferbrowsing,British Columbia,2,2,1,1,96,0,12,0,0
/stigma006,Addis Ababa,1,1,0,1,96,0,3,0,0
/stress006,Colorado,11,10,2,1.1,95.4,0,61,0,0
/stigma006,Ohio,7,8,1,0.875,95.375,0,35,0,0
/gender101,Kentucky,12,12,0,1,95.08333333333330,0,55,0,0
/stress010,Oregon,5,6,1,0.8333333333333330,95,0,33,0,0
/stigma002,Missouri,8,5,1,1.6,94.8,0,31,0,0
/queer002,Rhode Island,4,2,0,2,94.5,0,18,0,0
/sexuality101,Oklahoma,3,3,0,1,94.33333333333330,0,16,0,0
/queer004,Ontario,13,13,2,1,94.3076923076923,0,64,0,0
/mental-health-resources,Alabama,15,6,0,2.5,94.16666666666670,0,80,0,0
/gender004,Los Rios,1,1,1,1,94,0,8,0,0
/gender005,Rhode Island,3,1,0,3,94,0,11,0,0
/gender101,Utrecht,1,1,0,1,94,0,5,0,0
/queer00,Michigan,1,1,1,1,94,0,5,0,0
/queer003,Prince Edward Island,1,1,1,1,94,0,5,0,0
/stigma006,Minnesota,1,1,0,1,94,0,4,0,0
/gender004,Kentucky,2,2,0,1,93.5,0,8,0,0
/sexuality101,Idaho,5,5,1,1,93.4,0,26,0,0
/sexuality101,Alaska,4,3,0,1.3333333333333300,93.33333333333330,0,24,0,0
/stress012,Pennsylvania,3,3,1,1,93.33333333333330,0,17,0,0
/stress,Mugla,2,1,0,2,93,0,10,0,0
/stress001,Delhi,4,1,0,4,93,0,22,0,0
/spreadtheword,Missouri,7,4,3,1.75,92.75,0,35,0,0
/stress010,Michigan,10,9,0,1.1111111111111100,92.55555555555560,0,51,0,0
/gender005,Nebraska,1,1,0,1,92,0,4,0,0
/queer002,Central Java,1,1,0,1,92,0,5,0,0
/queer002,Kentucky,1,1,0,1,92,0,5,0,0
/spreadtheword,Berlin,2,2,0,1,92,0,12,0,0
/stigma006,Tennessee,3,3,0,1,92,0,15,0,0
/stress,Baghdad Governorate,2,1,0,2,92,0,7,0,0
/gender004,New York,66,58,13,1.1379310344827600,91.53448275862070,0,305,0,0
/gender101,Telangana,1,1,0,1,91,0,6,0,0
/queer002,Washington,13,14,5,0.9285714285714290,91,0,87,0,0
/stigma006,Idaho,3,3,1,1,91,0,13,0,0
/queer004,Georgia,14,15,3,0.9333333333333330,90.26666666666670,0,69,0,0
/gender001,San Miguel Department,1,1,0,1,90,0,4,0,0
/gender007,(not set),1,1,0,1,90,0,5,0,0
/stigma,Guatemala Department,2,1,0,2,90,0,6,0,0
/stigma006,Nova Scotia,1,1,0,1,90,0,2,0,0
/sexuality101,California,155,115,23,1.3478260869565200,89.71304347826090,0,856,0,0
